epoch,cut_index,batch_appearances
1,1,7
1,2,7
1,3,6
1,4,5
1,5,8
1,6,6
1,7,9
1,8,6
1,9,6
1,10,7
1,11,7
1,12,6
1,13,6
1,14,4
1,15,6
1,16,2
1,17,6
1,18,5
1,19,6
1,20,5
1,21,7
1,22,5
1,23,8
1,24,6
1,25,6
1,26,7
1,27,6
1,28,5
1,29,5
1,30,6
1,31,6
1,32,8
1,33,6
1,34,4
1,35,4
1,36,7
1,37,8
1,38,5
1,39,6
1,40,5
1,41,5
1,42,6
1,43,7
1,44,7
1,45,4
1,46,6
1,47,6
1,48,6
1,49,7
1,50,7
1,51,6
1,52,6
1,53,4
1,54,5
1,55,7
1,56,6
1,57,5
1,58,7
1,59,6
1,60,9
1,61,6
1,62,7
1,63,8
1,64,6
1,65,7
1,66,5
1,67,4
1,68,4
1,69,6
1,70,4
1,71,6
1,72,5
1,73,5
1,74,7
1,75,5
1,76,5
1,77,7
1,78,5
1,79,8
1,80,8
1,81,6
1,82,8
1,83,6
1,84,7
1,85,6
1,86,7
1,87,8
1,88,8
1,89,7
1,90,7
1,91,6
1,92,7
1,93,6
1,94,7
2,1,5
2,2,6
2,3,5
2,4,5
2,5,5
2,6,7
2,7,7
2,8,4
2,9,6
2,10,7
2,11,6
2,12,7
2,13,6
2,14,6
2,15,4
2,16,6
2,17,8
2,18,6
2,19,5
2,20,8
2,21,6
2,22,7
2,23,6
2,24,7
2,25,4
2,26,4
2,27,6
2,28,6
2,29,6
2,30,8
2,31,6
2,32,6
2,33,4
2,34,9
2,35,5
2,36,5
2,37,5
2,38,5
2,39,7
2,40,9
2,41,9
2,42,6
2,43,5
2,44,4
2,45,6
2,46,7
2,47,7
2,48,8
2,49,7
2,50,7
2,51,5
2,52,4
2,53,6
2,54,6
2,55,6
2,56,8
2,57,5
2,58,9
2,59,9
2,60,4
2,61,7
2,62,7
2,63,5
2,64,7
2,65,6
2,66,6
2,67,7
2,68,7
2,69,6
2,70,7
2,71,5
2,72,7
2,73,7
2,74,6
2,75,8
2,76,7
2,77,5
2,78,5
2,79,6
2,80,7
2,81,5
2,82,6
2,83,3
2,84,7
2,85,9
2,86,4
2,87,8
2,88,4
2,89,4
2,90,7
2,91,6
2,92,4
2,93,6
2,94,7
3,1,5
3,2,7
3,3,6
3,4,7
3,5,7
3,6,7
3,7,6
3,8,6
3,9,8
3,10,7
3,11,6
3,12,6
3,13,6
3,14,5
3,15,6
3,16,4
3,17,7
3,18,6
3,19,6
3,20,5
3,21,4
3,22,9
3,23,5
3,24,7
3,25,8
3,26,5
3,27,7
3,28,3
3,29,9
3,30,8
3,31,4
3,32,8
3,33,5
3,34,6
3,35,5
3,36,5
3,37,4
3,38,8
3,39,5
3,40,5
3,41,5
3,42,5
3,43,6
3,44,9
3,45,7
3,46,4
3,47,8
3,48,6
3,49,8
3,50,8
3,51,7
3,52,9
3,53,3
3,54,8
3,55,8
3,56,9
3,57,7
3,58,5
3,59,6
3,60,5
3,61,6
3,62,7
3,63,5
3,64,7
3,65,8
3,66,5
3,67,6
3,68,6
3,69,6
3,70,9
3,71,3
3,72,4
3,73,4
3,74,5
3,75,5
3,76,6
3,77,5
3,78,4
3,79,6
3,80,7
3,81,8
3,82,5
3,83,5
3,84,5
3,85,6
3,86,5
3,87,7
3,88,6
3,89,6
3,90,8
3,91,8
3,92,4
3,93,6
3,94,7
4,1,5
4,2,7
4,3,9
4,4,8
4,5,6
4,6,6
4,7,4
4,8,7
4,9,7
4,10,8
4,11,6
4,12,7
4,13,6
4,14,4
4,15,6
4,16,5
4,17,7
4,18,6
4,19,8
4,20,7
4,21,7
4,22,6
4,23,7
4,24,8
4,25,6
4,26,8
4,27,4
4,28,7
4,29,5
4,30,3
4,31,5
4,32,7
4,33,9
4,34,6
4,35,7
4,36,7
4,37,8
4,38,5
4,39,6
4,40,7
4,41,7
4,42,6
4,43,5
4,44,6
4,45,7
4,46,7
4,47,3
4,48,6
4,49,8
4,50,7
4,51,2
4,52,1
4,53,8
4,54,5
4,55,7
4,56,8
4,57,6
4,58,7
4,59,5
4,60,7
4,61,5
4,62,7
4,63,4
4,64,8
4,65,7
4,66,2
4,67,7
4,68,5
4,69,7
4,70,8
4,71,7
4,72,5
4,73,7
4,74,5
4,75,7
4,76,6
4,77,6
4,78,7
4,79,5
4,80,7
4,81,6
4,82,5
4,83,5
4,84,7
4,85,5
4,86,5
4,87,6
4,88,7
4,89,7
4,90,6
4,91,4
4,92,7
4,93,4
4,94,5
5,1,8
5,2,6
5,3,6
5,4,6
5,5,7
5,6,6
5,7,4
5,8,6
5,9,8
5,10,4
5,11,6
5,12,8
5,13,6
5,14,3
5,15,7
5,16,6
5,17,8
5,18,7
5,19,6
5,20,4
5,21,7
5,22,5
5,23,6
5,24,6
5,25,8
5,26,4
5,27,7
5,28,8
5,29,5
5,30,9
5,31,7
5,32,7
5,33,6
5,34,6
5,35,9
5,36,6
5,37,8
5,38,5
5,39,5
5,40,7
5,41,7
5,42,5
