Start daregram c4->c6 seed=45 init_sha256=ccb4fb1bf1dce88827f3fc8d16d3739d815ab71d6094bb1f9471cf991982c13d
daregram epoch=1/50 source_MSE=11016.693359 gram=22.665796 source_order_sha256=045c106d41422400410757db216008e065f81519c5545837926974282c7e874d target_unique=315
daregram epoch=2/50 source_MSE=9816.390527 gram=43.395403 source_order_sha256=d244cfd7952036477bb4e4372d79308b8e0d558b0a6ed018b3de79da389e3f70 target_unique=315
daregram epoch=3/50 source_MSE=9098.955469 gram=30.214630 source_order_sha256=72515ed719da026324d5ba11c224d09c4bce8e3eabf90780b9372fbf3c3ed692 target_unique=315
daregram epoch=4/50 source_MSE=8484.523242 gram=23.100772 source_order_sha256=2b58e4f832d5864008adc8a2dcb7b57d1b5d969c33846c977d9f2f0598fef041 target_unique=315
daregram epoch=5/50 source_MSE=7900.906055 gram=40.091412 source_order_sha256=4724f088a02ee8104a3436f981c49e28c4023a6c2a38ffafc299f0e3218f4d97 target_unique=315
daregram epoch=6/50 source_MSE=7270.592676 gram=37.916169 source_order_sha256=2836eae41f09548b769199df076218aeb67e314f0247883e288197cc142db96e target_unique=315
daregram epoch=7/50 source_MSE=6687.498633 gram=33.141530 source_order_sha256=a3300b282934dfd982a42d05dfdf2a7963837b699312646afdd7121df15634af target_unique=315
daregram epoch=8/50 source_MSE=6077.237500 gram=31.375245 source_order_sha256=bf062d81bbbcaae4e178180b47a03a6a93dca012d6e1da36c5789cc09fadffcd target_unique=315
daregram epoch=9/50 source_MSE=5521.123730 gram=45.725746 source_order_sha256=7411722688535bcb242be789ef4d10cc9e93b8435cef3511a7b9afb3b8a9adfe target_unique=315
daregram epoch=10/50 source_MSE=4966.069531 gram=43.804148 source_order_sha256=11420b1cb26c2ff760bcdec9c06375a963c02a69e242b3fa5969aaa7737da2c4 target_unique=315
daregram epoch=11/50 source_MSE=4344.398535 gram=45.031953 source_order_sha256=1915982666d06674912772b867fcbc3c62bc54ddd8181b7c079776187a575b42 target_unique=315
daregram epoch=12/50 source_MSE=3795.681299 gram=33.964689 source_order_sha256=598c86ad715716fce5159406cebfca58dca06c49e24010abf15594a7c3540e42 target_unique=315
daregram epoch=13/50 source_MSE=3328.880615 gram=21.999408 source_order_sha256=dd240e44db2a2fd49962dd19983fd68cd4495c3d730080c5e31cef0cdd85831b target_unique=315
daregram epoch=14/50 source_MSE=2783.013623 gram=24.737011 source_order_sha256=8e9a55e9b0f759bda510696c2a7a266bf2f6d8e8cc742a13b1ae2ca5b7256a12 target_unique=315
daregram epoch=15/50 source_MSE=2336.604272 gram=31.518086 source_order_sha256=592bd639e2eb5b2d37b8ed774ab87c117d7919f5c5f82fa594d02343539b45ed target_unique=315
daregram epoch=16/50 source_MSE=1878.436279 gram=33.609178 source_order_sha256=964b808a67e8469fb493ef77cfced592a291106b522131faaacd106f7486cd33 target_unique=315
daregram epoch=17/50 source_MSE=1508.641943 gram=16.328992 source_order_sha256=c58942fdedc6a094f0d5dbdaf7de2779368116e369e4b6d0721adaf543f44a10 target_unique=315
daregram epoch=18/50 source_MSE=1199.792480 gram=39.600948 source_order_sha256=b97c3ede62ff06328711c9c003c188c536ef9293e38a5ba36d0f7cfacd96b09f target_unique=315
daregram epoch=19/50 source_MSE=948.835474 gram=43.195871 source_order_sha256=ffb75eeebcf84ebc824da0e3b8ce7dc5cf13c7cc1b4d4f85b6d33fd889e2c18f target_unique=315
daregram epoch=20/50 source_MSE=780.273669 gram=47.542917 source_order_sha256=5c051e800cc58c79f5da470e5769c85e095e12e6df09d36c741a398f8a85dd57 target_unique=315
daregram epoch=21/50 source_MSE=646.739215 gram=32.813360 source_order_sha256=1d7b16b1d50a60478580220c2dc591c3412a1021cbba2b96311ced7699951d0b target_unique=315
daregram epoch=22/50 source_MSE=487.778223 gram=19.248803 source_order_sha256=5bab7c9a8e0a4628832cd8bcc8fecae9576b6715d41e6d46d282b21146ba02f5 target_unique=315
daregram epoch=23/50 source_MSE=388.221674 gram=36.314267 source_order_sha256=cd6f21162e5f0d61e6d303aecdcdffc75302d3415463b77dee1a1a3231878581 target_unique=315
daregram epoch=24/50 source_MSE=294.647491 gram=14.726376 source_order_sha256=1157e53d7e7f2e0a978b9edd9257ac57dd42f290bbf19e9e6ab5eff56f3b91fe target_unique=315
daregram epoch=25/50 source_MSE=169.803664 gram=19.193674 source_order_sha256=5ffe98837eb0d86546ec20d9f45ad06d152a673f506ded6d1c16693bf2791181 target_unique=315
daregram epoch=26/50 source_MSE=274.702100 gram=30.137337 source_order_sha256=867b394c0372ad41b0df3fdd6020fc8d500c3169080aa46b66431eea88dc6d07 target_unique=315
daregram epoch=27/50 source_MSE=133.324601 gram=29.461393 source_order_sha256=cc5a361473ef8b7a11879e89aec94753de4ed16ab109a095ae7c3f162e0294a4 target_unique=315
daregram epoch=28/50 source_MSE=144.156276 gram=10.639931 source_order_sha256=766ee53e5b647971064d41d558697125af3024954366a7dceceda18047f20be5 target_unique=315
daregram epoch=29/50 source_MSE=78.015836 gram=13.259895 source_order_sha256=2ce6bcc6ee91ddf33a5a09373efc6447c4920229399d612ca88d591aa6a3e42c target_unique=315
daregram epoch=30/50 source_MSE=63.750974 gram=15.042417 source_order_sha256=c0cab29f20c785d42e00eeb2389f57ccc595b010ee7dfa8d3c61c55ee7760273 target_unique=315
