Start norm=minmax c6->c4 seed=43
Start source_only c6->c4 seed=43 init_sha256=96faf07f9c746309bc7074a67eb7c81d643a13c859613ef4c885efa350234658
source_only epoch=1/50 source_MSE=17441.237305 gram=0.000000 source_order_sha256=539e80195b2f14026ec86d86537d720b6d259565890ee2e531527dc0fa123cb1 target_unique=0
source_only epoch=2/50 source_MSE=15958.015820 gram=0.000000 source_order_sha256=d6ef35ea5b7a94352550a780913a54e3c247002e2872fc027e7f9d55bc205bbb target_unique=0
source_only epoch=3/50 source_MSE=15117.629297 gram=0.000000 source_order_sha256=7afb4552282d8c8fa0c8e75fbf952fd6de5c6cd88e7e8cb31b12207a0fc7f494 target_unique=0
source_only epoch=4/50 source_MSE=14345.355078 gram=0.000000 source_order_sha256=fa178434bc9deecfee6405aef03b8291afa7415ec358855f05ea45102e81ad8d target_unique=0
source_only epoch=5/50 source_MSE=13576.151367 gram=0.000000 source_order_sha256=5e164424c6e68214a39cabc634757f9cf4891255e93455eec44d3a4daa8268d2 target_unique=0
source_only epoch=6/50 source_MSE=12781.475391 gram=0.000000 source_order_sha256=54014b36755c60cc5ed4c70b88ff4424d7f3399b25fee900dd9219bdd8d01ccf target_unique=0
source_only epoch=7/50 source_MSE=11997.262109 gram=0.000000 source_order_sha256=c11bf88820e7a58c1abdcf342b0065e659924b3c315efb167ce15b652a661157 target_unique=0
source_only epoch=8/50 source_MSE=11177.072461 gram=0.000000 source_order_sha256=4181dfb43f992c4a06146e9614d0cbfd198a5ccad2b05553393e570fd2d31e7c target_unique=0
source_only epoch=9/50 source_MSE=10325.686133 gram=0.000000 source_order_sha256=bfa578d5160e2ee400e2951c7a467294fbef2735ad25f7d9269abb2d54998854 target_unique=0
source_only epoch=10/50 source_MSE=9496.041992 gram=0.000000 source_order_sha256=f9df6b54e1710902e7dc7a8407f5e0235665a9adcd05d0cb5774167618d58497 target_unique=0
