source,target,seed,method,same_shared_config,same_initial_model,same_source_batch_order,different_final_checkpoint,different_batchnorm_running_buffers,zscore_batchnorm_sha256,minmax_batchnorm_sha256,evaluation_count,zscore_target_outside_0_1_fraction,minmax_target_outside_0_1_fraction
c1,c4,42,source_only,True,True,True,True,True,077f26933ad9817c6ed3961775be4e9b0b9bd544a439c68327c20a61dbd02c14,aed0d60b00cd7aaed03b30efed27f4ab424b1312183bdfdaee13520cf030e173,315,0.8634742373511904,2.971023478835979e-06
c1,c4,42,daregram,True,True,True,True,True,e441497f02124b7c511380fde762b5c42a3d83c0495d4e8776cc808ac1d236e4,e4a322810b8074f012f8bef03c50613eef1d0b9ff98228c16aff9b1edb0c243e,315,0.8634742373511904,2.971023478835979e-06
c1,c4,43,source_only,True,True,True,True,True,0b033d4216a17b585c0c9394e6c1ec47600ab3b6cdbfe5e3d32ff5307f902d36,8e81267bd90b3fa06ce0f1bdc2e5aaf56a7cb9c46e5c5181de6bae3e49d1bac4,315,0.8634742373511904,2.971023478835979e-06
c1,c4,43,daregram,True,True,True,True,True,9df57d7c30561822f0ca8a3359881b02dd07899d31382d9ff935cdee3d9054b3,f8b04888d6f4192c9ddc79be3cdf3a760ef90f86f85f04e4077aa2972c98b458,315,0.8634742373511904,2.971023478835979e-06
c1,c4,44,source_only,True,True,True,True,True,2f2d81672e816b40400b5db2155581e9e39e7608bef7e3b809ff612011202975,039f8ddaf8976d43800e469117217de87a7a7c255f35fb926050e923ae1ec756,315,0.8634742373511904,2.971023478835979e-06
c1,c4,44,daregram,True,True,True,True,True,d339e4152b368ee74cade1efaae724e1cf3e13e756071a42ba0ffb51de184d81,7be010037bed0a6870cfbe97a3c3e67a8a50dac04b789163fd558b9ab5657da0,315,0.8634742373511904,2.971023478835979e-06
c1,c4,45,source_only,True,True,True,True,True,83952d9bf51d618e32a889de8451a0a4ae2e16be14279ab0bc527f3dfa848350,f5c98fcef9bd45d6bfa00531a2233b0f5d974c082d09c05033aad459161f94f3,315,0.8634742373511904,2.971023478835979e-06
c1,c4,45,daregram,True,True,True,True,True,549fa7ec3e5d7bc6a4b4b82a6dfe0f5d9b6193e249512ccb6e3894aa193c78d1,4427798cb0c545d6e781f5593ab990197075d61b1bbcc1d45d9a6eaccedb0cf0,315,0.8634742373511904,2.971023478835979e-06
c1,c4,46,source_only,True,True,True,True,True,0928693238ae1462c466bdbcbcaaa893dbdbe998e797bbf36a8f5ec8d586ad04,f62a6005b63dbde37e44f40420578f26d998733decfc4bd234f531e5134d98cd,315,0.8634742373511904,2.971023478835979e-06
c1,c4,46,daregram,True,True,True,True,True,10ae8e5fd75d1df5e4751a6c4ff1fa02a726f36ed4bb78de7f9ed232babb502a,3c74c5242afc71342752b251b29740142ae85dc9373f3bed766c7ae081ae3358,315,0.8634742373511904,2.971023478835979e-06
c1,c6,42,source_only,True,True,True,True,True,077f26933ad9817c6ed3961775be4e9b0b9bd544a439c68327c20a61dbd02c14,aed0d60b00cd7aaed03b30efed27f4ab424b1312183bdfdaee13520cf030e173,315,0.850390560412533,0.0026135318493716933
c1,c6,42,daregram,True,True,True,True,True,9b262a4dff0c74a4ba323c668bd380b7b0c4f922e2fe50aafbb02c89a8b3e384,8fba152cd8350e389e71fc48255afeb6559c125d9a62e5eea67eec277ad6f27e,315,0.850390560412533,0.0026135318493716933
c1,c6,43,source_only,True,True,True,True,True,0b033d4216a17b585c0c9394e6c1ec47600ab3b6cdbfe5e3d32ff5307f902d36,8e81267bd90b3fa06ce0f1bdc2e5aaf56a7cb9c46e5c5181de6bae3e49d1bac4,315,0.850390560412533,0.0026135318493716933
c1,c6,43,daregram,True,True,True,True,True,28c5e314d0b769df4c96a926240262336bf395329e83e68fc05ce404370e3ba6,3c5fcbb2d181dca370f04c791b90db4602f72133fd7b13c63432f299e309c754,315,0.850390560412533,0.0026135318493716933
c1,c6,44,source_only,True,True,True,True,True,2f2d81672e816b40400b5db2155581e9e39e7608bef7e3b809ff612011202975,039f8ddaf8976d43800e469117217de87a7a7c255f35fb926050e923ae1ec756,315,0.850390560412533,0.0026135318493716933
c1,c6,44,daregram,True,True,True,True,True,095838bd1c7262095a42f31c44849e115dd221f13a793f4f5d9e129bda7c391c,6d5a5425e4094df670c6057a24f93ca7fcd18e3020ab1917c07cfadca26176d5,315,0.850390560412533,0.0026135318493716933
c1,c6,45,source_only,True,True,True,True,True,83952d9bf51d618e32a889de8451a0a4ae2e16be14279ab0bc527f3dfa848350,f5c98fcef9bd45d6bfa00531a2233b0f5d974c082d09c05033aad459161f94f3,315,0.850390560412533,0.0026135318493716933
c1,c6,45,daregram,True,True,True,True,True,7bceeae0635bb4601118a2df5d400a296d57dc3cfd5b6233241bc0d3cc2282d3,fd4a66b65af0582c7f746608d27f52463ac3166bc2ff927b4e18a25d493cf729,315,0.850390560412533,0.0026135318493716933
c1,c6,46,source_only,True,True,True,True,True,0928693238ae1462c466bdbcbcaaa893dbdbe998e797bbf36a8f5ec8d586ad04,f62a6005b63dbde37e44f40420578f26d998733decfc4bd234f531e5134d98cd,315,0.850390560412533,0.0026135318493716933
c1,c6,46,daregram,True,True,True,True,True,f6ab32d3728db466a5f860a120af2d73649654c3c46c110780eb0cde10940029,03b57feeb06c1874a304a079c3ec70744c774a9ea7a9fdfab82824db5bdb603f,315,0.850390560412533,0.0026135318493716933
c4,c1,42,source_only,True,True,True,True,True,0d78ef643c4d0b5b1fb03fc544b30344b581fd046c1a7ac23458d58e2db9622c,15757ef0a2d324a3ff0807d8674336af0b0687e93c3e47035197f13a024bc653,315,0.8558975784866898,0.0002044839203042328
c4,c1,42,daregram,True,True,True,True,True,a0f23a72766caef2a23698a6586a6d17d4432b9bf3c2fc81682d15ca9996328c,654780253404bd4e1e0e3d335edfaa39a22d2f828f3033b65980a12ac720a02d,315,0.8558975784866898,0.0002044839203042328
c4,c1,43,source_only,True,True,True,True,True,1561d710ba1d37cf2ec725263932c833f03e3b576b35915e1994babf1db2949d,77a60350e9b16a12e0d606f0226fe81d0e0ace04d1715a6fc19703afb2152972,315,0.8558975784866898,0.0002044839203042328
c4,c1,43,daregram,True,True,True,True,True,ee0050bf25837e19d59972ac7955ccee00de7bca50c6a1543fc91a4c7a0dc126,4ec14bebbf39f9e51e756f469307ba0950b919eb3c34d491df8edfcdeacf63a6,315,0.8558975784866898,0.0002044839203042328
c4,c1,44,source_only,True,True,True,True,True,ead8d7b7d3f4718d16105b2bd6b9ca5f74d7ee4f3416307985248fb636832071,fc8fbe06f92e2115b69569da58dd5aadb419d3c4117fca8abcca08e8631bbe41,315,0.8558975784866898,0.0002044839203042328
c4,c1,44,daregram,True,True,True,True,True,a57fc317e802952c7ba068cc7bfeb13ae7ba59ba8690477809c79b59e12ca171,d402004e323f7bb8ea19879cc5828cf2c854c887db433d404e20c2c349723ffe,315,0.8558975784866898,0.0002044839203042328
c4,c1,45,source_only,True,True,True,True,True,2c37c4bff7f3ee56989c28f690595985e25e1462344ba8deec8b6765e5882906,56595d2df13fea34319ac853460f9e853f49c457be56f6607648a96f7377ebe6,315,0.8558975784866898,0.0002044839203042328
c4,c1,45,daregram,True,True,True,True,True,da6da1af57b182f3b95b2864671633aeb3344139a8fb6c6e318102994f8fa1fa,6a59dca838ce9f3e1002bd5d219e7c8c666c801501fe98bc77cd9c0edec66f83,315,0.8558975784866898,0.0002044839203042328
c4,c1,46,source_only,True,True,True,True,True,b1a2cc6a5ef39df55b05d9688c1e930b9575bc0e2fb40409a614553d94b69fad,00d50b3e1479f1930db6a0c9a686747a0163bc235f7969ae7631828e8d0e788b,315,0.8558975784866898,0.0002044839203042328
c4,c1,46,daregram,True,True,True,True,True,cf1e842cedf060512b6bef81c5d1f0f22680ba279c677cb31194f5a5a7634ac3,5ca6434c22a90380e569b11e4c5b751b4ceaef14426cb25cc98618ac58e97184,315,0.8558975784866898,0.0002044839203042328
c4,c6,42,source_only,True,True,True,True,True,0d78ef643c4d0b5b1fb03fc544b30344b581fd046c1a7ac23458d58e2db9622c,15757ef0a2d324a3ff0807d8674336af0b0687e93c3e47035197f13a024bc653,315,0.8469865102616567,0.0021192116712136244
c4,c6,42,daregram,True,True,True,True,True,b080c1ab17681255d9a70b716f87e94cc749725652b10c4196ec506a24dfd916,6557be90f9588c7257d54b787f3b2b3dc67149d7043c0ecce3cdc12eb2680d7b,315,0.8469865102616567,0.0021192116712136244
c4,c6,43,source_only,True,True,True,True,True,1561d710ba1d37cf2ec725263932c833f03e3b576b35915e1994babf1db2949d,77a60350e9b16a12e0d606f0226fe81d0e0ace04d1715a6fc19703afb2152972,315,0.8469865102616567,0.0021192116712136244
c4,c6,43,daregram,True,True,True,True,True,81f94f862617bbc45151a6ec16b288df1cb491857236f06bbcd0f03cd20fd56c,eb268a98e5fc278d3215e09761888b91067674535b3f5fb938ad107321b1d5cc,315,0.8469865102616567,0.0021192116712136244
c4,c6,44,source_only,True,True,True,True,True,ead8d7b7d3f4718d16105b2bd6b9ca5f74d7ee4f3416307985248fb636832071,fc8fbe06f92e2115b69569da58dd5aadb419d3c4117fca8abcca08e8631bbe41,315,0.8469865102616567,0.0021192116712136244
c4,c6,44,daregram,True,True,True,True,True,4fa38c98f7ad582959731003446bef369e233f822817167713d7f1878347ad30,95676992431bf5e64f6c3930912fb89d9b749784a53580b3d66244c3d7a15b69,315,0.8469865102616567,0.0021192116712136244
c4,c6,45,source_only,True,True,True,True,True,2c37c4bff7f3ee56989c28f690595985e25e1462344ba8deec8b6765e5882906,56595d2df13fea34319ac853460f9e853f49c457be56f6607648a96f7377ebe6,315,0.8469865102616567,0.0021192116712136244
c4,c6,45,daregram,True,True,True,True,True,2056860284e88f43862737d05e2fde8d2199638a6f0474df1d967ba183148581,841816d00b39ffeead73e866128d81246a796bd8d19fc5816b824dc0e5013c5b,315,0.8469865102616567,0.0021192116712136244
c4,c6,46,source_only,True,True,True,True,True,b1a2cc6a5ef39df55b05d9688c1e930b9575bc0e2fb40409a614553d94b69fad,00d50b3e1479f1930db6a0c9a686747a0163bc235f7969ae7631828e8d0e788b,315,0.8469865102616567,0.0021192116712136244
c4,c6,46,daregram,True,True,True,True,True,5dec98383290dd73ce915f38b52e2e1952a227e54b3f7161feae73b4a837c0ae,c8bba10787c70be7002c75bfd879628f266fb7cdbb4443504b291141129b930b,315,0.8469865102616567,0.0021192116712136244
c6,c1,42,source_only,True,True,True,True,True,754225eeb683ca0928b6829f88a98468d44401648c981677e5c9cd877840f09b,4cc4d796fb664bde4c525d8cea5dd6ecbf290ead3b7efd3cee25032c2e8c328e,315,0.8820760737020502,0.00022828440186838624
c6,c1,42,daregram,True,True,True,True,True,6622a4a49879d9f583e6977dbb57b6d46d4d533ba9a294521c304060bbc6c6bd,920299bb22b6e30e64e0132dba6960a0dbd95f0a9330375a30a51c1b1e44347e,315,0.8820760737020502,0.00022828440186838624
c6,c1,43,source_only,True,True,True,True,True,df536fa6da7fb1d1fcc125f04a9d642e27b72a6847147ebe2e815431a58d544d,b065b6aac7d48d98f8d8ebb652e23b710c645e9ed3ea9f5d27d9fead54847747,315,0.8820760737020502,0.00022828440186838624
c6,c1,43,daregram,True,True,True,True,True,163a882e04583dfe95aceb89cd375462fc7dc399429f4fbb0634843c60c07325,8442cc06c289ad625da89b286d53fda37ec323eb7d943f46f762e4fa9ee79631,315,0.8820760737020502,0.00022828440186838624
c6,c1,44,source_only,True,True,True,True,True,bdcafcba95399fd7cc6eba2fd2c193d9acaa9bf5a15d95278cfe9c3660fc4b21,2024513ee142bf8566f034093e67d728de2dcb3d432cb352fad5c6e4337f18c1,315,0.8820760737020502,0.00022828440186838624
