norm_method,source,target,seed,method,evaluation_count,MAE,RMSE,R2,MAPE_percent
zscore,c1,c4,42,source_only,315,12.221490054660373,16.20288525707781,0.8174860013206093,12.47703600882442
zscore,c1,c4,42,daregram,315,11.957709757486981,15.314517491796957,0.8369510135180347,11.973966068685645
zscore,c1,c4,43,source_only,315,13.081118980286616,16.955520834367373,0.8001363857243965,13.297738456734834
zscore,c1,c4,43,daregram,315,12.607881261431983,15.726209006173603,0.8280668762550617,13.355008096344918
zscore,c1,c4,44,source_only,315,10.332749224465994,14.960705324791405,0.8443978459023102,9.547839964885497
zscore,c1,c4,44,daregram,315,10.756387510753816,15.006389323072543,0.8434461017586452,10.127965538848553
zscore,c1,c4,45,source_only,315,9.536933935256235,14.042593943593495,0.8629098842839216,8.851004289003535
zscore,c1,c4,45,daregram,315,13.229835437593009,16.281243212586055,0.8157164393250099,13.89024817731925
zscore,c1,c4,46,source_only,315,11.666174037872802,15.583118534338485,0.8311814306694855,11.991790871385554
zscore,c1,c4,46,daregram,315,12.927254377092638,17.107915056455163,0.7965275391373544,13.505461522420292
zscore,c1,c6,42,source_only,315,14.688987065875342,24.579311475157787,0.6239884634437973,9.07516264683066
zscore,c1,c6,42,daregram,315,12.41576907445514,16.964212318835692,0.8208861610116799,9.107242410122236
zscore,c1,c6,43,source_only,315,13.38105455428835,21.77392084044594,0.7049232285094047,8.800724403218926
zscore,c1,c6,43,daregram,315,12.643434482150608,17.00430983675607,0.8200384342635271,9.329771730598484
zscore,c1,c6,44,source_only,315,14.701103888617622,24.351823735782727,0.6309164179998741,9.208479165319378
zscore,c1,c6,44,daregram,315,19.067245901198614,24.169123109409668,0.6364337745082598,13.61598832638381
zscore,c1,c6,45,source_only,315,15.624869295150514,23.608612528571175,0.6531012997700716,10.528745627692777
zscore,c1,c6,45,daregram,315,17.696995544433594,23.025794768522594,0.6700174285445587,12.503451297817836
zscore,c1,c6,46,source_only,315,15.494329046824621,25.209291633279083,0.6044667219984858,10.076433472267746
zscore,c1,c6,46,daregram,315,13.972829715789311,19.20077898467152,0.7705439881586154,9.719848900418354
zscore,c4,c1,42,source_only,315,15.920024454025995,19.28932325583409,0.5009849200241452,14.589368364446539
zscore,c4,c1,42,daregram,315,17.58195287310888,23.055799377292466,0.2870812179729012,15.113302471313448
zscore,c4,c1,43,source_only,315,14.29856923421224,16.037211739799588,0.6550648805929337,13.877697453874823
zscore,c4,c1,43,daregram,315,13.322191668313646,20.125014967402464,0.45680956774545123,11.157318795313335
zscore,c4,c1,44,source_only,315,14.26807597326854,16.067702524582845,0.653752016396672,13.768160045061487
zscore,c4,c1,44,daregram,315,13.417927987234933,17.185744803647232,0.6038894544364949,11.917374327436091
zscore,c4,c1,45,source_only,315,12.039770229279048,15.388975021426308,0.6823864097114655,10.764823382078479
zscore,c4,c1,45,daregram,315,13.083895365397135,14.405277079301621,0.7216937753565347,12.982667930777023
zscore,c4,c1,46,source_only,315,15.075895224677192,20.220263029739936,0.4516557560185819,13.483851716522055
zscore,c4,c1,46,daregram,315,13.905018676273407,16.849873425880315,0.6192210137326768,13.024602500434778
zscore,c4,c6,42,source_only,315,14.658614857991536,16.633434496112546,0.8278029892034131,12.278047558337516
zscore,c4,c6,42,daregram,315,14.235151950896732,16.471287705675035,0.8311438628300166,12.677456573608351
zscore,c4,c6,43,source_only,315,14.53259152003697,18.23872863898243,0.7929616168858005,13.025421121539472
zscore,c4,c6,43,daregram,315,19.20359754411001,21.40864383094677,0.7147405387249467,16.229288553885635
zscore,c4,c6,44,source_only,315,19.94586310613723,24.17854356314776,0.6361503032156162,15.720626229870005
zscore,c4,c6,44,daregram,315,15.7774110521589,18.619247652416387,0.7842325144065283,14.046432612504617
zscore,c4,c6,45,source_only,315,13.632269771515377,16.255796118479932,0.8355332043429935,11.840726413792092
zscore,c4,c6,45,daregram,315,24.276653762090774,25.624403529576895,0.5913332786973282,19.650506792816735
zscore,c4,c6,46,source_only,315,13.367988047524104,15.22885080266247,0.85565690689222,11.680554348201069
zscore,c4,c6,46,daregram,315,13.835563205537344,16.131563611340077,0.838037424682289,11.963613300518377
zscore,c6,c1,42,source_only,315,14.352466655912853,19.036275354460372,0.513991747338567,11.942511269898839
zscore,c6,c1,42,daregram,315,6.976191832527282,8.354943724415277,0.9063804076740402,7.223756053916773
zscore,c6,c1,43,source_only,315,23.852816324385387,24.55839952172528,0.19112798863092217,22.891857634909453
zscore,c6,c1,43,daregram,315,10.027220032707094,12.786228168449643,0.7807373857807796,9.277280970134171
zscore,c6,c1,44,source_only,315,25.991294776068795,26.95682028296558,0.025421078341425596,24.579481770426042
zscore,c6,c1,44,daregram,315,6.936280380733431,8.122057807644538,0.91152677873279,6.8939369144752325
