norm_method,source,target,method,n,evaluation_count,R2_mean,R2_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
zscore,c1,c4,source_only,5,315,0.8312223095801446,0.024149118232535075,11.367693246508404,1.4297444091598377,15.548964778833716,1.1205334317606217
zscore,c1,c4,daregram,5,315,0.8241415939988211,0.01861231008116141,12.295813668871686,0.9814080912089329,15.887254818016865,0.8329354853919868
zscore,c1,c6,source_only,5,315,0.6434792263443267,0.03849558152032155,14.77806877015129,0.8938131481786986,23.90459204264734,1.3214449635143464
zscore,c1,c6,daregram,5,315,0.7435839572973281,0.08579183649359441,15.159254943605456,3.0404026382792786,20.07284380363911,3.3667273061014855
zscore,c4,c1,source_only,5,315,0.5887687965487596,0.10474760376351726,14.320467023092604,1.443438424663008,17.40069511427655,2.19088186443407
zscore,c4,c1,daregram,5,315,0.5377390058488117,0.16899220193277267,14.262197314065599,1.8797041219033914,18.324341930704822,3.3338657386331105
zscore,c4,c6,source_only,5,315,0.7896210041080087,0.08872844850850006,15.227465460641042,2.6959238991014978,18.107070723877026,3.5624109657595846
zscore,c4,c6,daregram,5,315,0.7518975238682218,0.10235616094849126,17.465675502958753,4.3552850778003185,19.65102926599103,3.9475428191025896
zscore,c6,c1,source_only,5,315,0.3238637551480567,0.21972346384559385,20.501139293852304,4.731430809127106,22.21645113693892,3.6354528450605548
zscore,c6,c1,daregram,5,315,0.8683471372696264,0.07849911161203053,7.537417003086635,2.54153865855865,9.53109996635732,3.025261478242506
zscore,c6,c4,source_only,5,315,0.5307331967314125,0.10707225531157662,18.234696999201695,4.296548144242763,25.82809411425552,3.1457694838421566
zscore,c6,c4,daregram,5,315,0.8390714721407285,0.05058612466779666,12.858397035144625,3.3074364702155146,15.049712260387412,2.497618112583396
minmax,c1,c4,source_only,5,315,0.8198274780719199,0.00505013675504556,12.58288297622923,0.6422054829247238,16.097345362709785,0.22614726881428254
minmax,c1,c4,daregram,5,315,0.8078618650350382,0.012981464876547659,13.696824948749846,0.6844796774089448,16.616705016544937,0.5725437233387706
minmax,c1,c6,source_only,5,315,0.7487181421369371,0.12511563043267246,13.025001133510045,3.3805940839430275,19.481962942621813,5.498965802590469
minmax,c1,c6,daregram,5,315,0.7459477436579972,0.08527149748361466,14.75427979968843,2.56595874279474,19.991788934297734,3.2629338692890926
minmax,c4,c1,source_only,5,315,0.5467990520798262,0.16899475425375152,14.41287007044232,1.7758831679422116,18.13034548103603,3.3927153364222757
minmax,c4,c1,daregram,5,315,0.619073069120042,0.1855663117521109,13.709560918656607,2.4500978785705665,16.521735566579654,3.718332875807361
minmax,c4,c6,source_only,5,315,0.7185910511409996,0.19550458324742534,17.533698269072033,5.165032843372495,20.41461882854227,6.650817726105199
minmax,c4,c6,daregram,5,315,0.8008413171031371,0.043277209186222375,15.678590500846742,1.5521121374685691,17.79963647828368,1.9886390846307633
minmax,c6,c1,source_only,5,315,0.36266540263228914,0.5074707899975109,17.076089964367092,7.485130762910187,20.57356888794879,8.057660155074633
minmax,c6,c1,daregram,5,315,0.6917720653605249,0.14952398687955104,11.307931196424697,2.745725112165641,14.787998855983219,3.731197017585064
minmax,c6,c4,source_only,5,315,0.5034959292945065,0.18433825265282897,18.037590593610492,4.8256819414739,26.39937346608111,4.644769008142401
minmax,c6,c4,daregram,5,315,0.7713518305422524,0.0650274247355479,16.825491764129158,2.748050161837631,17.984774233184687,2.6081917245869466
