cut,y_true,y_pred
1.000000000000000000e+00,2.421603584289550781e+01,3.965180587768554688e+01
2.000000000000000000e+00,2.776392555236816406e+01,3.965180587768554688e+01
3.000000000000000000e+00,3.105812454223632812e+01,4.119671630859375000e+01
4.000000000000000000e+00,3.411272811889648438e+01,4.994802474975585938e+01
5.000000000000000000e+00,3.694126129150390625e+01,5.230922698974609375e+01
6.000000000000000000e+00,3.955670928955078125e+01,5.599561309814453125e+01
7.000000000000000000e+00,4.197152328491210938e+01,5.710787200927734375e+01
8.000000000000000000e+00,4.419763946533203125e+01,5.963437652587890625e+01
9.000000000000000000e+00,4.624649047851562500e+01,5.716847991943359375e+01
1.000000000000000000e+01,4.812902832031250000e+01,5.890619659423828125e+01
1.100000000000000000e+01,4.985573196411132812e+01,6.076792144775390625e+01
1.200000000000000000e+01,5.143663024902343750e+01,6.198690795898437500e+01
1.300000000000000000e+01,5.288129806518554688e+01,5.967219543457031250e+01
1.400000000000000000e+01,5.419889831542968750e+01,6.478610992431640625e+01
1.500000000000000000e+01,5.539816284179687500e+01,6.529777526855468750e+01
1.600000000000000000e+01,5.648743057250976562e+01,6.333681106567382812e+01
1.700000000000000000e+01,5.747465133666992188e+01,6.643067932128906250e+01
1.800000000000000000e+01,5.836740112304687500e+01,6.962254333496093750e+01
1.900000000000000000e+01,5.917288589477539062e+01,7.148811340332031250e+01
2.000000000000000000e+01,5.989796066284179688e+01,7.150929260253906250e+01
2.100000000000000000e+01,6.054914855957031250e+01,6.937687683105468750e+01
2.200000000000000000e+01,6.113263320922851562e+01,7.101043701171875000e+01
2.300000000000000000e+01,6.165428543090820312e+01,7.281288146972656250e+01
2.400000000000000000e+01,6.211966705322265625e+01,7.545020294189453125e+01
2.500000000000000000e+01,6.253404998779296875e+01,7.499584197998046875e+01
2.600000000000000000e+01,6.290241622924804688e+01,7.682152557373046875e+01
2.700000000000000000e+01,6.322946929931640625e+01,7.534147644042968750e+01
2.800000000000000000e+01,6.351964950561523438e+01,7.717371368408203125e+01
2.900000000000000000e+01,6.377986526489257812e+01,7.488645935058593750e+01
3.000000000000000000e+01,6.402124786376953125e+01,7.747636413574218750e+01
3.100000000000000000e+01,6.424612426757812500e+01,7.736241149902343750e+01
3.200000000000000000e+01,6.445668029785156250e+01,7.823059082031250000e+01
3.300000000000000000e+01,6.465493774414062500e+01,7.179729461669921875e+01
3.400000000000000000e+01,6.484280395507812500e+01,7.562144470214843750e+01
3.500000000000000000e+01,6.502204132080078125e+01,7.757585906982421875e+01
3.600000000000000000e+01,6.519428253173828125e+01,7.928637695312500000e+01
3.700000000000000000e+01,6.536104583740234375e+01,7.743350219726562500e+01
3.800000000000000000e+01,6.552373504638671875e+01,7.980186462402343750e+01
3.900000000000000000e+01,6.568362426757812500e+01,7.998539733886718750e+01
4.000000000000000000e+01,6.584190368652343750e+01,8.097315979003906250e+01
4.100000000000000000e+01,6.599964141845703125e+01,8.105900573730468750e+01
4.200000000000000000e+01,6.615782928466796875e+01,8.147805786132812500e+01
4.300000000000000000e+01,6.631735229492187500e+01,8.281992340087890625e+01
4.400000000000000000e+01,6.647900390625000000e+01,8.175668334960937500e+01
4.500000000000000000e+01,6.664350128173828125e+01,8.237976837158203125e+01
4.600000000000000000e+01,6.681148529052734375e+01,8.247512817382812500e+01
4.700000000000000000e+01,6.698351287841796875e+01,8.361526489257812500e+01
4.800000000000000000e+01,6.716006469726562500e+01,8.436786651611328125e+01
4.900000000000000000e+01,6.734156799316406250e+01,8.350027465820312500e+01
5.000000000000000000e+01,6.752837371826171875e+01,8.437941741943359375e+01
5.100000000000000000e+01,6.772076416015625000e+01,8.647784423828125000e+01
5.200000000000000000e+01,6.791898345947265625e+01,8.419099426269531250e+01
5.300000000000000000e+01,6.812320709228515625e+01,8.547384643554687500e+01
5.400000000000000000e+01,6.833356475830078125e+01,8.534159851074218750e+01
5.500000000000000000e+01,6.855013275146484375e+01,8.688583374023437500e+01
5.600000000000000000e+01,6.877294921875000000e+01,8.718822479248046875e+01
5.700000000000000000e+01,6.900200653076171875e+01,8.668994140625000000e+01
5.800000000000000000e+01,6.923724365234375000e+01,8.735569763183593750e+01
5.900000000000000000e+01,6.947859954833984375e+01,8.722671508789062500e+01
6.000000000000000000e+01,6.972592926025390625e+01,8.767286682128906250e+01
6.100000000000000000e+01,6.997909545898437500e+01,8.898345947265625000e+01
6.200000000000000000e+01,7.023792266845703125e+01,8.943419647216796875e+01
6.300000000000000000e+01,7.050218963623046875e+01,8.995772552490234375e+01
6.400000000000000000e+01,7.077166748046875000e+01,8.832250213623046875e+01
6.500000000000000000e+01,7.104609680175781250e+01,8.537455749511718750e+01
6.600000000000000000e+01,7.132521057128906250e+01,8.740036010742187500e+01
6.700000000000000000e+01,7.162235260009765625e+01,8.915808105468750000e+01
6.800000000000000000e+01,7.201186370849609375e+01,9.138761901855468750e+01
6.900000000000000000e+01,7.241093444824218750e+01,9.044082641601562500e+01
7.000000000000000000e+01,7.281906127929687500e+01,9.081401824951171875e+01
7.100000000000000000e+01,7.323573303222656250e+01,8.906629943847656250e+01
7.200000000000000000e+01,7.366040039062500000e+01,9.126342773437500000e+01
7.300000000000000000e+01,7.409249877929687500e+01,9.042313385009765625e+01
7.400000000000000000e+01,7.453145599365234375e+01,9.185062408447265625e+01
7.500000000000000000e+01,7.497669982910156250e+01,9.067871093750000000e+01
7.600000000000000000e+01,7.542761230468750000e+01,9.103944396972656250e+01
7.700000000000000000e+01,7.588360595703125000e+01,9.069529724121093750e+01
7.800000000000000000e+01,7.634405517578125000e+01,9.072564697265625000e+01
7.900000000000000000e+01,7.680835723876953125e+01,9.190777587890625000e+01
8.000000000000000000e+01,7.727588653564453125e+01,9.185934448242187500e+01
8.100000000000000000e+01,7.774602508544921875e+01,9.173741912841796875e+01
8.200000000000000000e+01,7.821815490722656250e+01,9.304998779296875000e+01
8.300000000000000000e+01,7.869165802001953125e+01,9.319714355468750000e+01
8.400000000000000000e+01,7.916593170166015625e+01,9.409046173095703125e+01
8.500000000000000000e+01,7.964035034179687500e+01,9.348139953613281250e+01
8.600000000000000000e+01,8.011433410644531250e+01,9.232331848144531250e+01
8.700000000000000000e+01,8.058727264404296875e+01,9.414106750488281250e+01
8.800000000000000000e+01,8.105859375000000000e+01,9.396631622314453125e+01
8.900000000000000000e+01,8.152771759033203125e+01,9.478371429443359375e+01
9.000000000000000000e+01,8.199407196044921875e+01,9.514306640625000000e+01
9.100000000000000000e+01,8.245712280273437500e+01,9.477215576171875000e+01
9.200000000000000000e+01,8.291632080078125000e+01,9.404299926757812500e+01
9.300000000000000000e+01,8.337114715576171875e+01,9.285136413574218750e+01
9.400000000000000000e+01,8.382108306884765625e+01,9.299192810058593750e+01
9.500000000000000000e+01,8.426563262939453125e+01,9.154178619384765625e+01
9.600000000000000000e+01,8.470433044433593750e+01,9.103287506103515625e+01
9.700000000000000000e+01,8.513669586181640625e+01,8.632720947265625000e+01
9.800000000000000000e+01,8.556230163574218750e+01,8.731941986083984375e+01
9.900000000000000000e+01,8.598069763183593750e+01,8.844071197509765625e+01
1.000000000000000000e+02,8.639149475097656250e+01,8.956719970703125000e+01
1.010000000000000000e+02,8.679429626464843750e+01,9.028273010253906250e+01
1.020000000000000000e+02,8.718872070312500000e+01,9.039178466796875000e+01
1.030000000000000000e+02,8.757442474365234375e+01,9.042499542236328125e+01
1.040000000000000000e+02,8.795107269287109375e+01,9.159707641601562500e+01
1.050000000000000000e+02,8.831835174560546875e+01,9.180639648437500000e+01
1.060000000000000000e+02,8.867596435546875000e+01,9.065057373046875000e+01
1.070000000000000000e+02,8.902363586425781250e+01,9.141969299316406250e+01
1.080000000000000000e+02,8.936112213134765625e+01,9.246141052246093750e+01
1.090000000000000000e+02,8.968817901611328125e+01,9.317980957031250000e+01
1.100000000000000000e+02,9.000460815429687500e+01,9.305934143066406250e+01
1.110000000000000000e+02,9.031021118164062500e+01,9.269766235351562500e+01
1.120000000000000000e+02,9.060481262207031250e+01,9.382203674316406250e+01
1.130000000000000000e+02,9.088826751708984375e+01,9.363191223144531250e+01
1.140000000000000000e+02,9.116045379638671875e+01,9.389376831054687500e+01
1.150000000000000000e+02,9.142124938964843750e+01,9.379098510742187500e+01
1.160000000000000000e+02,9.167057037353515625e+01,9.585462951660156250e+01
1.170000000000000000e+02,9.190835571289062500e+01,9.555803680419921875e+01
1.180000000000000000e+02,9.213454437255859375e+01,9.528947448730468750e+01
1.190000000000000000e+02,9.234911346435546875e+01,9.620257568359375000e+01
1.200000000000000000e+02,9.255205535888671875e+01,9.557166290283203125e+01
1.210000000000000000e+02,9.274337768554687500e+01,9.698577880859375000e+01
1.220000000000000000e+02,9.292311096191406250e+01,9.808660888671875000e+01
1.230000000000000000e+02,9.309420776367187500e+01,9.688944244384765625e+01
1.240000000000000000e+02,9.325736999511718750e+01,9.811969757080078125e+01
1.250000000000000000e+02,9.341259765625000000e+01,9.835528564453125000e+01
1.260000000000000000e+02,9.355990600585937500e+01,9.823936462402343750e+01
1.270000000000000000e+02,9.369931030273437500e+01,9.852655029296875000e+01
1.280000000000000000e+02,9.383086395263671875e+01,9.981550598144531250e+01
1.290000000000000000e+02,9.395461273193359375e+01,9.512861633300781250e+01
