sample_index,y_true_vb,y_pred_vb
1.000000000000000000e+00,2.421603584289550781e+01,4.020173645019531250e+01
2.000000000000000000e+00,2.776392555236816406e+01,4.020173645019531250e+01
3.000000000000000000e+00,3.105812454223632812e+01,4.641840362548828125e+01
4.000000000000000000e+00,3.411272811889648438e+01,5.632161712646484375e+01
5.000000000000000000e+00,3.694126129150390625e+01,5.859131622314453125e+01
6.000000000000000000e+00,3.955670928955078125e+01,6.342658233642578125e+01
7.000000000000000000e+00,4.197152328491210938e+01,6.421750640869140625e+01
8.000000000000000000e+00,4.419763946533203125e+01,6.643804168701171875e+01
9.000000000000000000e+00,4.624649047851562500e+01,6.247522735595703125e+01
1.000000000000000000e+01,4.812902832031250000e+01,6.401306152343750000e+01
1.100000000000000000e+01,4.985573196411132812e+01,6.666928100585937500e+01
1.200000000000000000e+01,5.143663024902343750e+01,6.765509033203125000e+01
1.300000000000000000e+01,5.288129806518554688e+01,6.464699554443359375e+01
1.400000000000000000e+01,5.419889831542968750e+01,6.860549163818359375e+01
1.500000000000000000e+01,5.539816284179687500e+01,6.880871582031250000e+01
1.600000000000000000e+01,5.648743057250976562e+01,6.759116363525390625e+01
1.700000000000000000e+01,5.747465133666992188e+01,6.967829895019531250e+01
1.800000000000000000e+01,5.836740112304687500e+01,7.264297485351562500e+01
1.900000000000000000e+01,5.917288589477539062e+01,7.455039978027343750e+01
2.000000000000000000e+01,5.989796066284179688e+01,7.424241638183593750e+01
2.100000000000000000e+01,6.054914855957031250e+01,7.436654663085937500e+01
2.200000000000000000e+01,6.113263320922851562e+01,7.452008056640625000e+01
2.300000000000000000e+01,6.165428543090820312e+01,7.759707641601562500e+01
2.400000000000000000e+01,6.211966705322265625e+01,7.838517761230468750e+01
2.500000000000000000e+01,6.253404998779296875e+01,7.850202941894531250e+01
2.600000000000000000e+01,6.290241622924804688e+01,7.981877136230468750e+01
2.700000000000000000e+01,6.322946929931640625e+01,7.872990417480468750e+01
2.800000000000000000e+01,6.351964950561523438e+01,8.053898620605468750e+01
2.900000000000000000e+01,6.377986526489257812e+01,7.851735687255859375e+01
3.000000000000000000e+01,6.402124786376953125e+01,8.001213836669921875e+01
3.100000000000000000e+01,6.424612426757812500e+01,8.038424682617187500e+01
3.200000000000000000e+01,6.445668029785156250e+01,8.126231384277343750e+01
3.300000000000000000e+01,6.465493774414062500e+01,7.420927429199218750e+01
3.400000000000000000e+01,6.484280395507812500e+01,7.695155334472656250e+01
3.500000000000000000e+01,6.502204132080078125e+01,7.904936218261718750e+01
3.600000000000000000e+01,6.519428253173828125e+01,7.922570800781250000e+01
3.700000000000000000e+01,6.536104583740234375e+01,7.883345031738281250e+01
3.800000000000000000e+01,6.552373504638671875e+01,7.879776000976562500e+01
3.900000000000000000e+01,6.568362426757812500e+01,7.891720581054687500e+01
4.000000000000000000e+01,6.584190368652343750e+01,8.081726074218750000e+01
4.100000000000000000e+01,6.599964141845703125e+01,8.089485168457031250e+01
4.200000000000000000e+01,6.615782928466796875e+01,8.166670227050781250e+01
4.300000000000000000e+01,6.631735229492187500e+01,8.215528106689453125e+01
4.400000000000000000e+01,6.647900390625000000e+01,8.212685394287109375e+01
4.500000000000000000e+01,6.664350128173828125e+01,8.151267242431640625e+01
4.600000000000000000e+01,6.681148529052734375e+01,8.137406158447265625e+01
4.700000000000000000e+01,6.698351287841796875e+01,8.346546173095703125e+01
4.800000000000000000e+01,6.716006469726562500e+01,8.399795532226562500e+01
4.900000000000000000e+01,6.734156799316406250e+01,8.374932861328125000e+01
5.000000000000000000e+01,6.752837371826171875e+01,8.465432739257812500e+01
5.100000000000000000e+01,6.772076416015625000e+01,8.565551757812500000e+01
5.200000000000000000e+01,6.791898345947265625e+01,8.259976196289062500e+01
5.300000000000000000e+01,6.812320709228515625e+01,8.376551818847656250e+01
5.400000000000000000e+01,6.833356475830078125e+01,8.557359313964843750e+01
5.500000000000000000e+01,6.855013275146484375e+01,8.611471557617187500e+01
5.600000000000000000e+01,6.877294921875000000e+01,8.554568481445312500e+01
5.700000000000000000e+01,6.900200653076171875e+01,8.671537780761718750e+01
5.800000000000000000e+01,6.923724365234375000e+01,8.589469909667968750e+01
5.900000000000000000e+01,6.947859954833984375e+01,8.519564819335937500e+01
6.000000000000000000e+01,6.972592926025390625e+01,8.547166442871093750e+01
6.100000000000000000e+01,6.997909545898437500e+01,8.762514495849609375e+01
6.200000000000000000e+01,7.023792266845703125e+01,8.734339904785156250e+01
6.300000000000000000e+01,7.050218963623046875e+01,8.742976379394531250e+01
6.400000000000000000e+01,7.077166748046875000e+01,8.789244079589843750e+01
6.500000000000000000e+01,7.104609680175781250e+01,8.719537353515625000e+01
6.600000000000000000e+01,7.132521057128906250e+01,8.779785156250000000e+01
6.700000000000000000e+01,7.162235260009765625e+01,9.015904235839843750e+01
6.800000000000000000e+01,7.201186370849609375e+01,9.032249450683593750e+01
6.900000000000000000e+01,7.241093444824218750e+01,9.012219238281250000e+01
7.000000000000000000e+01,7.281906127929687500e+01,9.153433990478515625e+01
7.100000000000000000e+01,7.323573303222656250e+01,9.004104614257812500e+01
7.200000000000000000e+01,7.366040039062500000e+01,9.099946594238281250e+01
7.300000000000000000e+01,7.409249877929687500e+01,9.026805877685546875e+01
7.400000000000000000e+01,7.453145599365234375e+01,9.191808319091796875e+01
7.500000000000000000e+01,7.497669982910156250e+01,9.098706817626953125e+01
7.600000000000000000e+01,7.542761230468750000e+01,9.151188659667968750e+01
7.700000000000000000e+01,7.588360595703125000e+01,9.088963317871093750e+01
7.800000000000000000e+01,7.634405517578125000e+01,9.142150878906250000e+01
7.900000000000000000e+01,7.680835723876953125e+01,9.158685302734375000e+01
8.000000000000000000e+01,7.727588653564453125e+01,9.178307342529296875e+01
8.100000000000000000e+01,7.774602508544921875e+01,9.171795654296875000e+01
8.200000000000000000e+01,7.821815490722656250e+01,9.269455718994140625e+01
8.300000000000000000e+01,7.869165802001953125e+01,9.267938995361328125e+01
8.400000000000000000e+01,7.916593170166015625e+01,9.365737915039062500e+01
8.500000000000000000e+01,7.964035034179687500e+01,9.348505401611328125e+01
8.600000000000000000e+01,8.011433410644531250e+01,9.164463806152343750e+01
8.700000000000000000e+01,8.058727264404296875e+01,9.352837371826171875e+01
8.800000000000000000e+01,8.105859375000000000e+01,9.426777648925781250e+01
8.900000000000000000e+01,8.152771759033203125e+01,9.357781219482421875e+01
9.000000000000000000e+01,8.199407196044921875e+01,9.500375366210937500e+01
9.100000000000000000e+01,8.245712280273437500e+01,9.446195983886718750e+01
9.200000000000000000e+01,8.291632080078125000e+01,9.346480560302734375e+01
9.300000000000000000e+01,8.337114715576171875e+01,9.246027374267578125e+01
9.400000000000000000e+01,8.382108306884765625e+01,9.382601928710937500e+01
9.500000000000000000e+01,8.426563262939453125e+01,9.196891784667968750e+01
9.600000000000000000e+01,8.470433044433593750e+01,9.198973083496093750e+01
9.700000000000000000e+01,8.513669586181640625e+01,9.011360931396484375e+01
9.800000000000000000e+01,8.556230163574218750e+01,9.004115295410156250e+01
9.900000000000000000e+01,8.598069763183593750e+01,9.007690429687500000e+01
1.000000000000000000e+02,8.639149475097656250e+01,9.126079559326171875e+01
1.010000000000000000e+02,8.679429626464843750e+01,9.221003723144531250e+01
1.020000000000000000e+02,8.718872070312500000e+01,9.222137451171875000e+01
1.030000000000000000e+02,8.757442474365234375e+01,9.284632873535156250e+01
1.040000000000000000e+02,8.795107269287109375e+01,9.396466064453125000e+01
1.050000000000000000e+02,8.831835174560546875e+01,9.337813568115234375e+01
1.060000000000000000e+02,8.867596435546875000e+01,9.323225402832031250e+01
1.070000000000000000e+02,8.902363586425781250e+01,9.345266723632812500e+01
1.080000000000000000e+02,8.936112213134765625e+01,9.561056518554687500e+01
1.090000000000000000e+02,8.968817901611328125e+01,9.468454742431640625e+01
1.100000000000000000e+02,9.000460815429687500e+01,9.558680725097656250e+01
1.110000000000000000e+02,9.031021118164062500e+01,9.353746032714843750e+01
1.120000000000000000e+02,9.060481262207031250e+01,9.446422576904296875e+01
1.130000000000000000e+02,9.088826751708984375e+01,9.591474914550781250e+01
1.140000000000000000e+02,9.116045379638671875e+01,9.648573303222656250e+01
1.150000000000000000e+02,9.142124938964843750e+01,9.607978057861328125e+01
1.160000000000000000e+02,9.167057037353515625e+01,9.689390563964843750e+01
1.170000000000000000e+02,9.190835571289062500e+01,9.643116760253906250e+01
1.180000000000000000e+02,9.213454437255859375e+01,9.608918762207031250e+01
1.190000000000000000e+02,9.234911346435546875e+01,9.687161254882812500e+01
1.200000000000000000e+02,9.255205535888671875e+01,9.707086944580078125e+01
1.210000000000000000e+02,9.274337768554687500e+01,9.887025451660156250e+01
1.220000000000000000e+02,9.292311096191406250e+01,9.827416992187500000e+01
1.230000000000000000e+02,9.309420776367187500e+01,9.716911315917968750e+01
1.240000000000000000e+02,9.325736999511718750e+01,9.798504638671875000e+01
1.250000000000000000e+02,9.341259765625000000e+01,9.890559387207031250e+01
1.260000000000000000e+02,9.355990600585937500e+01,1.001729278564453125e+02
1.270000000000000000e+02,9.369931030273437500e+01,1.001882629394531250e+02
1.280000000000000000e+02,9.383086395263671875e+01,9.971484375000000000e+01
1.290000000000000000e+02,9.395461273193359375e+01,9.776652526855468750e+01
1.300000000000000000e+02,9.407061767578125000e+01,9.806126403808593750e+01
1.310000000000000000e+02,9.417896270751953125e+01,9.921029663085937500e+01
1.320000000000000000e+02,9.427973175048828125e+01,9.767420959472656250e+01
1.330000000000000000e+02,9.437302398681640625e+01,9.717825317382812500e+01
1.340000000000000000e+02,9.445896148681640625e+01,9.918206787109375000e+01
1.350000000000000000e+02,9.453765106201171875e+01,9.916238403320312500e+01
1.360000000000000000e+02,9.460923767089843750e+01,9.920388793945312500e+01
1.370000000000000000e+02,9.467536926269531250e+01,9.907319641113281250e+01
1.380000000000000000e+02,9.473773956298828125e+01,9.899639892578125000e+01
1.390000000000000000e+02,9.479638671875000000e+01,1.011163482666015625e+02
1.400000000000000000e+02,9.485136413574218750e+01,1.003980102539062500e+02
1.410000000000000000e+02,9.490272521972656250e+01,1.005992813110351562e+02
1.420000000000000000e+02,9.495053863525390625e+01,1.021420135498046875e+02
1.430000000000000000e+02,9.499487304687500000e+01,1.003859176635742188e+02
1.440000000000000000e+02,9.503578948974609375e+01,1.009622497558593750e+02
1.450000000000000000e+02,9.507337188720703125e+01,1.012688293457031250e+02
1.460000000000000000e+02,9.510769653320312500e+01,1.029842681884765625e+02
1.470000000000000000e+02,9.513885498046875000e+01,1.028293991088867188e+02
1.480000000000000000e+02,9.516692352294921875e+01,1.047191619873046875e+02
1.490000000000000000e+02,9.519200897216796875e+01,1.033248138427734375e+02
1.500000000000000000e+02,9.521419525146484375e+01,1.052337799072265625e+02
1.510000000000000000e+02,9.523358917236328125e+01,1.035655059814453125e+02
1.520000000000000000e+02,9.525028991699218750e+01,1.055281372070312500e+02
1.530000000000000000e+02,9.526441192626953125e+01,1.053591842651367188e+02
1.540000000000000000e+02,9.527606201171875000e+01,1.061148681640625000e+02
1.550000000000000000e+02,9.528534698486328125e+01,1.066504669189453125e+02
1.560000000000000000e+02,9.529239654541015625e+01,1.059147796630859375e+02
1.570000000000000000e+02,9.529731750488281250e+01,1.058955688476562500e+02
1.580000000000000000e+02,9.530023956298828125e+01,1.055963439941406250e+02
1.590000000000000000e+02,9.530127716064453125e+01,1.072960510253906250e+02
1.600000000000000000e+02,9.530127716064453125e+01,1.071339874267578125e+02
1.610000000000000000e+02,9.530127716064453125e+01,9.891416168212890625e+01
1.620000000000000000e+02,9.530127716064453125e+01,1.049837493896484375e+02
1.630000000000000000e+02,9.530127716064453125e+01,1.038210906982421875e+02
1.640000000000000000e+02,9.530127716064453125e+01,1.035206909179687500e+02
1.650000000000000000e+02,9.530127716064453125e+01,1.053099822998046875e+02
1.660000000000000000e+02,9.530127716064453125e+01,1.048001556396484375e+02
1.670000000000000000e+02,9.530127716064453125e+01,1.059229202270507812e+02
1.680000000000000000e+02,9.530127716064453125e+01,1.071821441650390625e+02
1.690000000000000000e+02,9.530127716064453125e+01,1.055037078857421875e+02
1.700000000000000000e+02,9.530127716064453125e+01,1.067115020751953125e+02
1.710000000000000000e+02,9.530127716064453125e+01,1.066252822875976562e+02
1.720000000000000000e+02,9.530127716064453125e+01,1.077665481567382812e+02
1.730000000000000000e+02,9.530127716064453125e+01,1.064338073730468750e+02
1.740000000000000000e+02,9.530127716064453125e+01,1.077144775390625000e+02
1.750000000000000000e+02,9.530127716064453125e+01,1.092981185913085938e+02
1.760000000000000000e+02,9.530127716064453125e+01,1.090490570068359375e+02
1.770000000000000000e+02,9.530127716064453125e+01,1.087284851074218750e+02
1.780000000000000000e+02,9.530127716064453125e+01,1.089650955200195312e+02
1.790000000000000000e+02,9.530127716064453125e+01,1.097527313232421875e+02
1.800000000000000000e+02,9.530127716064453125e+01,1.096934204101562500e+02
1.810000000000000000e+02,9.530127716064453125e+01,1.103333053588867188e+02
1.820000000000000000e+02,9.530127716064453125e+01,1.102773971557617188e+02
1.830000000000000000e+02,9.530127716064453125e+01,1.115514602661132812e+02
1.840000000000000000e+02,9.530127716064453125e+01,1.103508911132812500e+02
1.850000000000000000e+02,9.530127716064453125e+01,1.125063171386718750e+02
1.860000000000000000e+02,9.530127716064453125e+01,1.121655502319335938e+02
1.870000000000000000e+02,9.530127716064453125e+01,1.115523605346679688e+02
1.880000000000000000e+02,9.530127716064453125e+01,1.125397796630859375e+02
1.890000000000000000e+02,9.530127716064453125e+01,1.132012557983398438e+02
1.900000000000000000e+02,9.530127716064453125e+01,1.123073425292968750e+02
1.910000000000000000e+02,9.530127716064453125e+01,1.129836120605468750e+02
1.920000000000000000e+02,9.530127716064453125e+01,1.138050994873046875e+02
1.930000000000000000e+02,9.530127716064453125e+01,1.088749389648437500e+02
1.940000000000000000e+02,9.530127716064453125e+01,1.135277404785156250e+02
1.950000000000000000e+02,9.530127716064453125e+01,1.142247772216796875e+02
1.960000000000000000e+02,9.530127716064453125e+01,1.136413574218750000e+02
1.970000000000000000e+02,9.530127716064453125e+01,1.147681732177734375e+02
1.980000000000000000e+02,9.533522033691406250e+01,1.153484039306640625e+02
1.990000000000000000e+02,9.537337493896484375e+01,1.156493453979492188e+02
2.000000000000000000e+02,9.541511535644531250e+01,1.154471664428710938e+02
2.010000000000000000e+02,9.555435180664062500e+01,1.166168823242187500e+02
2.020000000000000000e+02,9.571377563476562500e+01,1.162633972167968750e+02
2.030000000000000000e+02,9.588296508789062500e+01,1.169928283691406250e+02
2.040000000000000000e+02,9.606208038330078125e+01,1.173888244628906250e+02
2.050000000000000000e+02,9.625125885009765625e+01,1.166557693481445312e+02
2.060000000000000000e+02,9.645063781738281250e+01,1.163653259277343750e+02
2.070000000000000000e+02,9.666036224365234375e+01,1.175417022705078125e+02
2.080000000000000000e+02,9.697094726562500000e+01,1.173555908203125000e+02
2.090000000000000000e+02,9.736193847656250000e+01,1.166513900756835938e+02
2.100000000000000000e+02,9.776950836181640625e+01,1.183112869262695312e+02
2.110000000000000000e+02,9.819375610351562500e+01,1.200266723632812500e+02
2.120000000000000000e+02,9.863478088378906250e+01,1.191946487426757812e+02
2.130000000000000000e+02,9.909264373779296875e+01,1.193851318359375000e+02
2.140000000000000000e+02,9.956741333007812500e+01,1.204736938476562500e+02
2.150000000000000000e+02,1.000591506958007812e+02,1.198464202880859375e+02
2.160000000000000000e+02,1.005678863525390625e+02,1.210237503051757812e+02
2.170000000000000000e+02,1.010936508178710938e+02,1.208773651123046875e+02
2.180000000000000000e+02,1.016364669799804688e+02,1.212074050903320312e+02
2.190000000000000000e+02,1.021963424682617188e+02,1.216218948364257812e+02
2.200000000000000000e+02,1.027732620239257812e+02,1.230712203979492188e+02
2.210000000000000000e+02,1.033672103881835938e+02,1.244003143310546875e+02
2.220000000000000000e+02,1.039781570434570312e+02,1.250750427246093750e+02
2.230000000000000000e+02,1.046060714721679688e+02,1.258538970947265625e+02
2.240000000000000000e+02,1.052508926391601562e+02,1.248381500244140625e+02
2.250000000000000000e+02,1.059125595092773438e+02,1.228970108032226562e+02
2.260000000000000000e+02,1.065909957885742188e+02,1.248440551757812500e+02
2.270000000000000000e+02,1.072861251831054688e+02,1.243181152343750000e+02
2.280000000000000000e+02,1.079978408813476562e+02,1.270516815185546875e+02
2.290000000000000000e+02,1.087260360717773438e+02,1.272845611572265625e+02
2.300000000000000000e+02,1.094705963134765625e+02,1.267778930664062500e+02
2.310000000000000000e+02,1.102313995361328125e+02,1.273574600219726562e+02
2.320000000000000000e+02,1.110083007812500000e+02,1.268410415649414062e+02
2.330000000000000000e+02,1.118011398315429688e+02,1.263050231933593750e+02
2.340000000000000000e+02,1.126097793579101562e+02,1.288942718505859375e+02
2.350000000000000000e+02,1.134340286254882812e+02,1.285079498291015625e+02
2.360000000000000000e+02,1.142737197875976562e+02,1.281226196289062500e+02
2.370000000000000000e+02,1.151286697387695312e+02,1.286784667968750000e+02
2.380000000000000000e+02,1.159986648559570312e+02,1.297789154052734375e+02
2.390000000000000000e+02,1.168834991455078125e+02,1.295326538085937500e+02
2.400000000000000000e+02,1.177829666137695312e+02,1.291194763183593750e+02
2.410000000000000000e+02,1.186968307495117188e+02,1.301470794677734375e+02
2.420000000000000000e+02,1.196248626708984375e+02,1.315917510986328125e+02
2.430000000000000000e+02,1.205668106079101562e+02,1.310013885498046875e+02
2.440000000000000000e+02,1.215224380493164062e+02,1.317918701171875000e+02
2.450000000000000000e+02,1.224914703369140625e+02,1.321263580322265625e+02
2.460000000000000000e+02,1.234736404418945312e+02,1.320541534423828125e+02
2.470000000000000000e+02,1.244686737060546875e+02,1.334314575195312500e+02
2.480000000000000000e+02,1.254762954711914062e+02,1.338061218261718750e+02
2.490000000000000000e+02,1.264962081909179688e+02,1.342823028564453125e+02
2.500000000000000000e+02,1.275281143188476562e+02,1.339438934326171875e+02
2.510000000000000000e+02,1.285717010498046875e+02,1.353550415039062500e+02
2.520000000000000000e+02,1.296266784667968750e+02,1.357725067138671875e+02
2.530000000000000000e+02,1.306927032470703125e+02,1.358387908935546875e+02
2.540000000000000000e+02,1.317694702148437500e+02,1.354058380126953125e+02
2.550000000000000000e+02,1.328566436767578125e+02,1.366942291259765625e+02
2.560000000000000000e+02,1.339538726806640625e+02,1.368986053466796875e+02
2.570000000000000000e+02,1.350608520507812500e+02,1.346312866210937500e+02
2.580000000000000000e+02,1.361772003173828125e+02,1.359013214111328125e+02
2.590000000000000000e+02,1.373025817871093750e+02,1.361497039794921875e+02
2.600000000000000000e+02,1.384366455078125000e+02,1.365147705078125000e+02
2.610000000000000000e+02,1.395790252685546875e+02,1.399576873779296875e+02
2.620000000000000000e+02,1.407293548583984375e+02,1.406414794921875000e+02
2.630000000000000000e+02,1.418872680664062500e+02,1.426913909912109375e+02
2.640000000000000000e+02,1.430523986816406250e+02,1.442364807128906250e+02
2.650000000000000000e+02,1.442243652343750000e+02,1.442423248291015625e+02
2.660000000000000000e+02,1.454027862548828125e+02,1.435190277099609375e+02
2.670000000000000000e+02,1.465872955322265625e+02,1.426752624511718750e+02
2.680000000000000000e+02,1.477774963378906250e+02,1.445420074462890625e+02
2.690000000000000000e+02,1.489729919433593750e+02,1.442848815917968750e+02
2.700000000000000000e+02,1.501734161376953125e+02,1.430871734619140625e+02
2.710000000000000000e+02,1.513783721923828125e+02,1.427262420654296875e+02
2.720000000000000000e+02,1.525874786376953125e+02,1.441948547363281250e+02
2.730000000000000000e+02,1.538003234863281250e+02,1.434569244384765625e+02
2.740000000000000000e+02,1.550165100097656250e+02,1.436278228759765625e+02
2.750000000000000000e+02,1.562356719970703125e+02,1.437314910888671875e+02
2.760000000000000000e+02,1.574573822021484375e+02,1.462968750000000000e+02
2.770000000000000000e+02,1.586812744140625000e+02,1.467882537841796875e+02
2.780000000000000000e+02,1.599069366455078125e+02,1.460152130126953125e+02
2.790000000000000000e+02,1.611339874267578125e+02,1.450424194335937500e+02
2.800000000000000000e+02,1.623619995117187500e+02,1.462019195556640625e+02
