cut,y_true,y_pred
1.000000000000000000e+00,2.421603584289550781e+01,3.938412475585937500e+01
2.000000000000000000e+00,2.776392555236816406e+01,3.938412475585937500e+01
3.000000000000000000e+00,3.105812454223632812e+01,4.424485015869140625e+01
4.000000000000000000e+00,3.411272811889648438e+01,4.908827972412109375e+01
5.000000000000000000e+00,3.694126129150390625e+01,5.013871765136718750e+01
6.000000000000000000e+00,3.955670928955078125e+01,5.336763000488281250e+01
7.000000000000000000e+00,4.197152328491210938e+01,5.389097595214843750e+01
8.000000000000000000e+00,4.419763946533203125e+01,5.586996841430664062e+01
9.000000000000000000e+00,4.624649047851562500e+01,5.420612335205078125e+01
1.000000000000000000e+01,4.812902832031250000e+01,5.680712127685546875e+01
1.100000000000000000e+01,4.985573196411132812e+01,5.774955749511718750e+01
1.200000000000000000e+01,5.143663024902343750e+01,5.975575256347656250e+01
1.300000000000000000e+01,5.288129806518554688e+01,5.453695678710937500e+01
1.400000000000000000e+01,5.419889831542968750e+01,6.046321487426757812e+01
1.500000000000000000e+01,5.539816284179687500e+01,6.137916564941406250e+01
1.600000000000000000e+01,5.648743057250976562e+01,6.017079925537109375e+01
1.700000000000000000e+01,5.747465133666992188e+01,6.072039031982421875e+01
1.800000000000000000e+01,5.836740112304687500e+01,6.389256286621093750e+01
1.900000000000000000e+01,5.917288589477539062e+01,6.779058074951171875e+01
2.000000000000000000e+01,5.989796066284179688e+01,6.793756866455078125e+01
2.100000000000000000e+01,6.054914855957031250e+01,6.678049468994140625e+01
2.200000000000000000e+01,6.113263320922851562e+01,6.720050811767578125e+01
2.300000000000000000e+01,6.165428543090820312e+01,6.987950897216796875e+01
2.400000000000000000e+01,6.211966705322265625e+01,7.025222015380859375e+01
2.500000000000000000e+01,6.253404998779296875e+01,7.015271759033203125e+01
2.600000000000000000e+01,6.290241622924804688e+01,7.346453094482421875e+01
2.700000000000000000e+01,6.322946929931640625e+01,7.074156951904296875e+01
2.800000000000000000e+01,6.351964950561523438e+01,7.188384246826171875e+01
2.900000000000000000e+01,6.377986526489257812e+01,7.076673126220703125e+01
3.000000000000000000e+01,6.402124786376953125e+01,7.217340850830078125e+01
3.100000000000000000e+01,6.424612426757812500e+01,7.350842285156250000e+01
3.200000000000000000e+01,6.445668029785156250e+01,7.383991241455078125e+01
3.300000000000000000e+01,6.465493774414062500e+01,6.673498535156250000e+01
3.400000000000000000e+01,6.484280395507812500e+01,6.983304595947265625e+01
3.500000000000000000e+01,6.502204132080078125e+01,7.046069335937500000e+01
3.600000000000000000e+01,6.519428253173828125e+01,7.220088958740234375e+01
3.700000000000000000e+01,6.536104583740234375e+01,7.061044311523437500e+01
3.800000000000000000e+01,6.552373504638671875e+01,7.175024414062500000e+01
3.900000000000000000e+01,6.568362426757812500e+01,7.250590515136718750e+01
4.000000000000000000e+01,6.584190368652343750e+01,7.315621948242187500e+01
4.100000000000000000e+01,6.599964141845703125e+01,7.457543182373046875e+01
4.200000000000000000e+01,6.615782928466796875e+01,7.514809417724609375e+01
4.300000000000000000e+01,6.631735229492187500e+01,7.571507263183593750e+01
4.400000000000000000e+01,6.647900390625000000e+01,7.483401489257812500e+01
4.500000000000000000e+01,6.664350128173828125e+01,7.541515350341796875e+01
4.600000000000000000e+01,6.681148529052734375e+01,7.593591308593750000e+01
4.700000000000000000e+01,6.698351287841796875e+01,7.599806976318359375e+01
4.800000000000000000e+01,6.716006469726562500e+01,7.838743591308593750e+01
4.900000000000000000e+01,6.734156799316406250e+01,7.694803619384765625e+01
5.000000000000000000e+01,6.752837371826171875e+01,7.748485565185546875e+01
5.100000000000000000e+01,6.772076416015625000e+01,7.815145874023437500e+01
5.200000000000000000e+01,6.791898345947265625e+01,7.704556274414062500e+01
5.300000000000000000e+01,6.812320709228515625e+01,7.732717132568359375e+01
5.400000000000000000e+01,6.833356475830078125e+01,7.820320892333984375e+01
5.500000000000000000e+01,6.855013275146484375e+01,7.897247314453125000e+01
5.600000000000000000e+01,6.877294921875000000e+01,7.931501770019531250e+01
5.700000000000000000e+01,6.900200653076171875e+01,7.972307586669921875e+01
5.800000000000000000e+01,6.923724365234375000e+01,7.904287719726562500e+01
5.900000000000000000e+01,6.947859954833984375e+01,7.911132812500000000e+01
6.000000000000000000e+01,6.972592926025390625e+01,7.919854736328125000e+01
6.100000000000000000e+01,6.997909545898437500e+01,8.007508087158203125e+01
6.200000000000000000e+01,7.023792266845703125e+01,8.080076599121093750e+01
6.300000000000000000e+01,7.050218963623046875e+01,8.043408966064453125e+01
6.400000000000000000e+01,7.077166748046875000e+01,8.057633209228515625e+01
6.500000000000000000e+01,7.104609680175781250e+01,7.968874359130859375e+01
6.600000000000000000e+01,7.132521057128906250e+01,8.102679443359375000e+01
6.700000000000000000e+01,7.162235260009765625e+01,8.184207916259765625e+01
6.800000000000000000e+01,7.201186370849609375e+01,8.268833923339843750e+01
6.900000000000000000e+01,7.241093444824218750e+01,8.279660034179687500e+01
7.000000000000000000e+01,7.281906127929687500e+01,8.322562408447265625e+01
7.100000000000000000e+01,7.323573303222656250e+01,8.303083801269531250e+01
7.200000000000000000e+01,7.366040039062500000e+01,8.389754486083984375e+01
7.300000000000000000e+01,7.409249877929687500e+01,8.335377502441406250e+01
7.400000000000000000e+01,7.453145599365234375e+01,8.400302886962890625e+01
7.500000000000000000e+01,7.497669982910156250e+01,8.420106506347656250e+01
7.600000000000000000e+01,7.542761230468750000e+01,8.488551330566406250e+01
7.700000000000000000e+01,7.588360595703125000e+01,8.365474700927734375e+01
7.800000000000000000e+01,7.634405517578125000e+01,8.427439117431640625e+01
7.900000000000000000e+01,7.680835723876953125e+01,8.424678802490234375e+01
8.000000000000000000e+01,7.727588653564453125e+01,8.479160308837890625e+01
8.100000000000000000e+01,7.774602508544921875e+01,8.325080108642578125e+01
8.200000000000000000e+01,7.821815490722656250e+01,8.547504425048828125e+01
8.300000000000000000e+01,7.869165802001953125e+01,8.639046478271484375e+01
8.400000000000000000e+01,7.916593170166015625e+01,8.674341583251953125e+01
8.500000000000000000e+01,7.964035034179687500e+01,8.572261810302734375e+01
8.600000000000000000e+01,8.011433410644531250e+01,8.477713012695312500e+01
8.700000000000000000e+01,8.058727264404296875e+01,8.638829040527343750e+01
